Game_Name,CPU,GPU,RAM,File_size,OS
Senua's Saga: Hellblade II,Intel Core i5-8400,GTX 1070,16,70,Windows
Grand Theft Auto V,Intel Core 2 Quad Q6600,GTX 660,4,72,Windows
Call of Duty Modern Warfare,Intel Core i3-3225,GTX 660,8,55,Windows
God of War,Intel Core i5-2500K,GTX 960,8,70,Windows
DOOM Eternal, Intel Core i5-6600K,GTX 1050 Ti,8,50,Wondows
Red Dead Redemption 2,Intel Core i5-2500K,GTX 770,8,150,Windows
Cyberpunk 2077,Intel Core i7-12700,GTX 1060 6GB,12,70,Windows
Borderlands 3,AMD FX-8350,GTX 680,6,75,Widnows
Star Wars Outlaws,Intel Core i7-8700K,GTX 1660,16,65,Windows
STALKER 2,Intel Core i5-7600K,RX 580,8,150,Windows
Elden Ring,Intel Core i5-8400,GTX 1060 3GB,12,60,Windows
Call of Duty: Black Ops 6,Intel Core i5-6600,GTX 1650,8,149,Windows
Counter-Strike 2,Intel Core i5-750,HD Graphics 4000,8,85,Windows
Valorant,Intel Core i3-4150,GT 730,4,55,Windows
Watch Dogs Legion,Intel Core i5-4460,GTX 970,8,45,Windows
Death Stranding,Intel Core i5-3470,GTX 1050,8,80,Windows
Dying Light 2,Intel Core i3-9100,GTX 1050 Ti,8,60,Windows
Watch Dogs 2,Intel Core i5-2400,GTX 660,6,50,Windows
DOOM: The Dark Ages,Intel Core i7-10700K,RTX 2060 Super,16,100,Windows
Battlefield V,Intel Core i5-6600K,GTX 660,8,50,Windows
Baldur's Gate 3,Intel Core i5-4690,GTX 970,8,150,Windows
Zenless Zone Zero, Intel Core i5-7600,GTX 970,8,57,Windows
Call of Duty WWII,Intel Core i3-3225,GTX 1050,8,90,Widnows
God of War Ragnarok,Intel Core i5-2500K,GTX 960,8,70,Windows
Far Cry 6,AMD Ryzen 3 1200,RX 460,8,60,Windows
